         Reward       Distance
        82.8550         0.3556
        51.6300         0.2243
        48.7150         0.2284
        49.1950         0.2249
        52.0300         0.2189
        81.2850         0.3575
        48.3350         0.2233
       105.4300         0.4461
        15.7850         0.0914
        14.4800         0.0905
        48.4950         0.2284
        48.4900         0.2237
        55.6700         0.2594
       108.3250         0.4445
        14.6900         0.0993
        82.9250         0.3553
        44.4450         0.2284
        16.9300         0.0971
       137.7850         0.5641
        45.2200         0.2218
        14.6850         0.0990
        47.6350         0.2205
        46.4350         0.2202
       108.3150         0.4486
       310.5100         1.0000
        64.9200         0.2648
        15.0300         0.0981
        15.8450         0.0908
        16.6350         0.0987
        59.8750         0.2680
        15.5000         0.0965
       103.2350         0.4461
        16.2350         0.0962
        15.4550         0.0940
        55.2100         0.2632
        43.3750         0.3594
        83.2000         0.3651
        15.5350         0.0981
        42.3450         0.2196
        15.1850         0.0993
        87.1250         0.3654
        78.9750         0.3572
        15.1850         0.0993
        15.1850         0.0993
        41.4250         0.2161
        15.1850         0.0993
        15.1850         0.0993
        64.2600         0.2841
        46.1700         0.2161
        15.1850         0.0993
        15.1850         0.0993
        17.0950         0.0955
        15.1850         0.0993
        15.1850         0.0993
        82.4600         0.3559
        45.4650         0.2284
        80.9350         0.3568
        17.3650         0.0987
        17.6350         0.0990
        42.0200         0.2177
        17.9550         0.0895
       108.5350         0.4476
        45.4000         0.2173
        56.5000         0.2600
       120.6500         0.4831
       103.5250         0.4451
        53.1950         0.2151
        53.1100         0.2202
        93.7350         0.4533
        48.1600         0.2101
        48.4950         0.2161
        17.5550         0.0905
        48.1800         0.2202
        15.5300         0.0917
        53.0900         0.2249
        82.8700         0.3600
        84.6700         0.3581
        63.7750         0.2841
        52.2500         0.2240
        64.3100         0.2841
        19.7200         0.0936
        48.4500         0.2230
        19.2850         0.0943
        46.4250         0.2224
        17.8350         0.0968
        47.4550         0.2208
        17.9050         0.0987
        56.7050         0.2572
        19.7200         0.0936
        44.3200         0.2167
        19.7200         0.0936
        16.3450         0.0990
        19.7200         0.0936
        19.2850         0.0943
       107.9500         0.4780
        16.5200         0.0949
        16.2250         0.0962
        43.6550         0.2214
        59.3000         0.2626
        51.4750         0.2224
        16.0550         0.0968
        16.6350         0.0965
        18.3700         0.0959
        15.7850         0.0971
        87.6000         0.3575
        15.6150         0.0978
        15.2900         0.0936
        61.7200         0.2569
        80.5200         0.3565
        60.5800         0.2841
        92.5000         0.3600
        48.2900         0.2189
        49.5150         0.2214
        52.0600         0.2113
        16.7500         0.0943
        15.1850         0.0993
        46.4500         0.2151
        45.8350         0.2243
        18.2250         0.0965
        51.8050         0.2284
        15.1850         0.0993
        17.6850         0.0974
        65.4150         0.2610
        15.1850         0.0993
        14.9000         0.0927
       133.4600         0.5656
        15.1850         0.0993
        89.4750         0.3644
        15.1850         0.0993
        84.6800         0.3568
        15.8850         0.0952
        15.1850         0.0993
        87.7450         0.3572
       105.8550         0.4543
        49.2700         0.2199
        60.7300         0.2746
        52.4400         0.2151
        15.1850         0.0993
        14.8050         0.0984
        15.1850         0.0993
        49.2000         0.2173
        47.2750         0.2205
       136.6000         0.5289
        50.0500         0.2158
        52.8200         0.2240
        66.5650         0.2841
        16.4450         0.0949
       110.8950         0.4435
        15.7850         0.0971
        62.2950         0.2699
       103.6050         0.4464
        51.8800         0.2221
        47.5050         0.2230
        63.1600         0.2841
        47.0950         0.2180
        65.9350         0.2689
        15.7850         0.0971
        15.7850         0.0971
        47.0900         0.2135
        48.1300         0.2180
        45.3400         0.2145
        46.3850         0.2139
        43.8400         0.2126
        49.8750         0.2192
        46.4600         0.2145
        17.6950         0.0886
        42.7100         0.2284
        44.2900         0.2183
        85.0000         0.3556
        83.9100         0.3562
        18.4750         0.0892
        84.2450         0.3578
        84.8200         0.3641
        51.2550         0.2278
        48.4200         0.2158
        54.0900         0.2192
        47.7100         0.2189
        80.0500         0.3572
        20.0250         0.0933
        41.9950         0.2170
       122.2000         0.4796
        47.9800         0.2243
        44.8600         0.2202
        58.2550         0.2623
        46.5000         0.2189
        40.0300         0.2151
        43.2550         0.2158
        47.0200         0.2104
       128.4200         0.5669
        53.5550         0.2221
        16.0800         0.0968
        15.9600         0.0943
        82.7600         0.3568
        80.3800         0.3565
        49.4600         0.2208
        87.4300         0.3600
        90.2200         0.3584
        42.9750         0.2284
        58.2850         0.2638
        49.6300         0.2173
        79.0500         0.3568
        84.9350         0.3641
        16.2250         0.0962
        14.6300         0.0984
        77.6000         0.3559
        43.3600         0.2186
        59.4500         0.2619
       106.3200         0.4518
        95.1550         0.4502
        18.2600         0.0968
       116.6550         0.4783
        63.6150         0.2689
        87.1650         0.3556
        61.5800         0.2594
        78.4400         0.3556
        14.8500         0.0993
        53.0000         0.2841
        15.3450         0.0981
        42.7900         0.2841
        53.0250         0.2097
        61.6450         0.2781
        61.7800         0.2613
        83.3600         0.3591
        66.7150         0.2841
        14.7600         0.0933
        87.7500         0.3584
       103.9250         0.4483
        82.6700         0.3553
        53.8100         0.2525
        49.3250         0.2246
        82.5000         0.3597
        16.5400         0.0959
        51.1750         0.2246
        16.2750         0.0987
        70.9900         0.2841
        44.9900         0.2180
        15.7600         0.0955
        55.8500         0.2604
        49.5250         0.2284
        14.2500         0.0984
        16.1800         0.0987
        54.7950         0.2224
        87.8400         0.3923
        45.4100         0.2183
        15.7250         0.0987
       110.1550         0.4480
        16.8000         0.0949
        43.6500         0.2170
       153.6900         0.6185
        14.4500         0.0860
        48.1800         0.2183
        14.7750         0.0952
        74.6800         0.3565
        41.0150         0.2148
        16.1800         0.0981
       123.4400         0.5296
       138.1250         0.5660
        51.7850         0.2205
        52.9950         0.2284
        49.0400         0.2224
        48.6350         0.2246
        64.1600         0.2841
        75.5000         0.3654
       103.4650         0.4464
       118.8900         0.5267
        16.1400         0.0968
        15.2050         0.0987
        52.5700         0.2110
        16.7300         0.0987
        59.8100         0.2841
        63.6950         0.2752
        18.8500         0.0930
       106.6150         0.4502
        45.5000         0.2211
        46.3900         0.2154
       107.7800         0.4461
       106.6150         0.4451
       110.7750         0.4777
        76.5100         0.3575
        18.0050         0.0971
        86.8150         0.3572
        79.9850         0.3562
       107.0200         0.4454
        61.6350         0.2686
        45.9100         0.2227
       104.6200         0.4521
       104.0750         0.4476
        52.2750         0.2237
        45.8500         0.2164
        50.5300         0.2180
        14.1900         0.0993
        15.5950         0.0984
        45.6300         0.2101
        14.5400         0.0987
        43.1200         0.2110
        54.5900         0.2566
        47.3300         0.2120
        46.6550         0.2284
        13.7600         0.0908
        64.6500         0.2670
        40.0750         0.2158
        16.3100         0.0955
        40.3550         0.2154
       196.4250         0.7814
        75.5050         0.3556
        74.7850         0.3572
        57.4300         0.2607
       155.5450         0.6080
       100.1150         0.4533
        52.7150         0.2249
        15.0550         0.0971
        90.6700         0.3600
        55.5950         0.2841
        16.1450         0.0990
        78.4200         0.3559
        59.8600         0.2736
        15.9450         0.0965
        80.0000         0.3572
        18.7400         0.2173
        15.6850         0.0962
        44.9850         0.2132
        15.1850         0.0993
        45.5200         0.2113
        84.3900         0.3603
        15.1850         0.0993
        81.6950         0.3641
        87.4850         0.3584
        32.7500         0.2841
        15.1850         0.0993
        48.1350         0.2158
        15.1850         0.0993
        77.6850         0.3553
        15.1850         0.0993
        14.8300         0.0984
        15.1850         0.0993
        41.1350         0.2075
        15.1850         0.0993
       109.7450         0.4464
        61.3200         0.2569
        42.6350         0.2113
        15.1850         0.0993
        15.1850         0.0993
       101.5500         0.4540
       105.9250         0.4470
        47.6600         0.2208
        60.1050         0.2812
        60.3650         0.2841
        42.4200         0.2161
