 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     182      -142.8935        37.8467          -1.10      -123.9701         0.0000          4.453 2025-01-02T21:28:43
     183       197.9787       233.1111          18.19       314.5342         0.0000          3.449 2025-01-02T21:28:44
     184      -152.8009        41.5748          -0.70      -132.0135         0.0000          4.494 2025-01-02T21:28:44
     185      -112.0397        32.8437           3.20       -95.6179         0.0000          4.352 2025-01-02T21:28:44
     186        43.2501       105.1017           9.20        95.8010         0.0000          4.133 2025-01-02T21:28:45
     187      -104.8217        23.5267          -1.10       -93.0583         0.0000          5.421 2025-01-02T21:28:45
     188        46.5715        50.8924           4.71        72.0177         0.0000          5.218 2025-01-02T21:28:46
     189       -48.0538        17.4667           2.60       -39.3205         0.0000          5.342 2025-01-02T21:28:47
     190      -138.2601        31.2018          -2.00      -122.6592         0.0000          4.445 2025-01-02T21:28:47
     191      -155.9601        42.8792          -2.70      -134.5205         0.0000          5.291 2025-01-02T21:28:48
     192      -203.5943        63.8629          -3.50      -171.6629         0.0000          5.149 2025-01-02T21:28:48
     193       -76.1357        18.5528          -1.10       -66.8593         0.0000          4.971 2025-01-02T21:28:48
     194        54.3528        34.2315           7.42        71.4686         0.0000          4.937 2025-01-02T21:28:49
     195       -62.8487         9.1461          -0.60       -58.2757         0.0000          5.923 2025-01-02T21:28:49
     196       -88.7105        29.4764          -0.90       -73.9723         0.0000          5.026 2025-01-02T21:28:49
     197      -134.5542        31.7410          -2.00      -118.6837         0.0000          4.952 2025-01-02T21:28:49
     198        93.1679       114.3910           9.01       150.3634         0.0000          4.269 2025-01-02T21:28:50
     199       -95.9874        20.5235          -1.10       -85.7256         0.0000          4.881 2025-01-02T21:28:50
     201       137.6433        58.1114           6.50       166.6991         0.0000          4.373 2025-01-02T21:28:51
     202       -45.3061        24.4178          -0.20       -33.0972         0.0000          4.379 2025-01-02T21:28:51
     200       153.9776        75.0664           9.00       191.5108         0.0000          4.498 2025-01-02T21:28:52
     203        93.5550        81.8975           1.49       134.5038         0.0000          4.139 2025-01-02T21:28:52
     204       252.9109       146.2932          11.70       326.0575         0.0000          4.025 2025-01-02T21:28:52
     205       -51.6955         9.1452           2.60       -47.1229         0.0000          3.820 2025-01-02T21:28:52
     206       -26.7973        53.9512           1.31         0.1783         0.0000          4.443 2025-01-02T21:28:53
     207       -70.0348        11.6452          -1.70       -64.2122         0.0000          4.012 2025-01-02T21:28:53
     208       -40.7251        13.5598          -0.90       -33.9452         0.0000          4.008 2025-01-02T21:28:53
     209        22.6039        14.4805           1.20        29.8441         0.0000          4.350 2025-01-02T21:28:53
     210       -65.3194         9.1600          -1.10       -60.7394         0.0000          3.867 2025-01-02T21:28:54
     211       -48.8063         5.1830          -1.10       -46.2148         0.0000          4.146 2025-01-02T21:28:54
     212       -67.3428        35.8337           2.80       -49.4259         0.0000          3.838 2025-01-02T21:28:55
     213      -108.4349        50.6462          -4.51       -83.1118         0.0000          3.730 2025-01-02T21:28:56
     214       -31.3345         2.7753          -0.90       -29.9468         0.0000          4.354 2025-01-02T21:28:56
     215      -115.7559        42.9121          -2.64       -94.2999         0.0000          5.774 2025-01-02T21:28:56
     216       272.9037       164.9065          16.70       355.3570         0.0000          4.065 2025-01-02T21:28:56
     217       -28.2893         2.6711          -1.00       -26.9537         0.0000          4.047 2025-01-02T21:28:57
     218       -30.1302         3.3554          -0.60       -28.4525         0.0000          4.052 2025-01-02T21:28:57
     219       -78.1692        19.8837          -1.79       -68.2274         0.0000          4.599 2025-01-02T21:28:57
     220       -68.9452        11.8830          -1.40       -63.0037         0.0000          4.492 2025-01-02T21:28:57
     221       -44.1991         4.0798          -1.10       -42.1592         0.0000          3.982 2025-01-02T21:28:58
     222         5.1127         1.0782          -0.20         5.6518         0.0000          4.489 2025-01-02T21:28:58
     223       -24.4012         1.3652          -1.10       -23.7186         0.0000          4.435 2025-01-02T21:28:58
     224       -34.5585         5.2109          -0.60       -31.9531         0.0000          4.053 2025-01-02T21:28:59
     225        47.3014        28.8185           2.30        61.7106         0.0000          4.035 2025-01-02T21:29:00
     226       258.1768       143.0822           9.70       329.7180         0.0000          4.091 2025-01-02T21:29:00
     227       209.4321        74.0216          10.55       246.4429         0.0000          4.129 2025-01-02T21:29:00
     228       506.7681       440.1855          24.61       726.8608         0.0000          3.874 2025-01-02T21:29:00
     229        -7.4495        13.0025          -0.99        -0.9483         0.0000          3.989 2025-01-02T21:29:01
     230       -18.1942         1.8372          -1.60       -17.2756         0.0000          3.896 2025-01-02T21:29:01
     231        -3.4948         2.3400          -0.40        -2.3248         0.0000          4.006 2025-01-02T21:29:01
     232       -44.6235       144.7394          -1.49        27.7462         0.0000          4.018 2025-01-02T21:29:01
     233       118.8913        28.0342           5.72       132.9085         0.0000          3.940 2025-01-02T21:29:01
     234       -20.2854         0.8885          -1.10       -19.8411         0.0000          3.968 2025-01-02T21:29:01
     235        -3.3629         0.0509          -1.10        -3.3375         0.0000          3.840 2025-01-02T21:29:02
     236        26.4246         3.1237          -0.30        27.9865         0.0000          4.205 2025-01-02T21:29:03
     237       279.9062       162.6356          10.40       361.2240         0.0000          4.343 2025-01-02T21:29:04
     238       -15.4752         4.2437           0.35       -13.3534         0.0000          4.461 2025-01-02T21:29:04
     239       -70.8134       142.0896           3.56         0.2314         0.0000          4.202 2025-01-02T21:29:04
     240        40.8526        15.9773          -1.10        48.8413         0.0000          4.410 2025-01-02T21:29:05
     241       160.9388        64.2944           3.00       193.0860         0.0000          4.178 2025-01-02T21:29:05
     242       -59.1792        21.9496          -4.19       -48.2044         0.0000          4.254 2025-01-02T21:29:05
     243        21.7077        11.3035          -1.10        27.3595         0.0000          4.341 2025-01-02T21:29:05
     244       -17.4479        36.9706          -1.49         1.0374         0.0000          4.314 2025-01-02T21:29:05
     245        13.6881         5.6957           1.60        16.5359         0.0000          4.245 2025-01-02T21:29:06
     246        -1.3730         0.0178          -1.10        -1.3640         0.0000          4.301 2025-01-02T21:29:06
     247        14.9916         0.3404          -1.10        15.1618         0.0000          4.294 2025-01-02T21:29:06
     248         6.5725         2.5182          -2.10         7.8316         0.0000          6.859 2025-01-02T21:29:10
     249        47.1585        14.1371           0.40        54.2271         0.0000          6.962 2025-01-02T21:29:11
     250        98.8571        43.2096           3.60       120.4619         0.0000          6.780 2025-01-02T21:29:11
     251        -3.1225         3.1547          -1.10        -1.5451         0.0000          7.066 2025-01-02T21:29:11
     252       127.9483        35.5643           3.40       145.7305         0.0000          6.796 2025-01-02T21:29:12
     253       203.9099       191.3401          12.60       299.5800         0.0000          6.996 2025-01-02T21:29:12
     254        75.2765        18.2092           2.40        84.3811         0.0000          6.994 2025-01-02T21:29:12
     255       398.0433       296.0656          13.95       546.0762         0.0000          7.056 2025-01-02T21:29:12
     256        23.7546         4.4767          -0.00        25.9929         0.0000          7.041 2025-01-02T21:29:12
     257       108.4465        26.9054           6.00       121.8992         0.0000          6.938 2025-01-02T21:29:13
     258         9.0088         0.1089          -1.10         9.0632         0.0000          6.969 2025-01-02T21:29:13
     259        23.2842         0.8962          -1.10        23.7323         0.0000          6.864 2025-01-02T21:29:13
     260        61.4569        16.1786          -0.80        69.5462         0.0000          4.055 2025-01-02T21:29:14
     261         4.1598         2.0722          -2.10         5.1959         0.0000          3.832 2025-01-02T21:29:15
     262         7.1655         4.3110          -1.00         9.3210         0.0000          3.759 2025-01-02T21:29:15
     263        41.9963         8.5360          -0.70        46.2643         0.0000          3.938 2025-01-02T21:29:15
     264        55.3858        88.3407           4.46        99.5561         0.0000          3.728 2025-01-02T21:29:15
     265       -29.5357         2.4944          -0.82       -28.2885         0.0000          3.802 2025-01-02T21:29:16
     266       -26.8882         9.1430          -3.49       -22.3167         0.0000          3.805 2025-01-02T21:29:16
     267       -62.8901        15.4055           0.05       -55.1873         0.0000          3.872 2025-01-02T21:29:16
