 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     129       -33.9679       151.4919          26.63       167.8193        12.6041          4.088 2025-01-03T00:05:17
     130       -34.2207       148.3543          26.67       166.1934        12.6237          4.074 2025-01-03T00:05:18
     131      -413.2977       288.5820           7.73       -85.8707        18.3136          5.082 2025-01-03T00:05:18
     132       -18.2080       147.6611          31.89       261.0284        20.5406          5.497 2025-01-03T00:05:19
     133      -364.2362       234.7411          10.30       -75.9921        17.0874          5.026 2025-01-03T00:05:19
     134      -312.0797       166.7893           8.93       -52.2699        17.6415          5.001 2025-01-03T00:05:19
     135      -388.7045       276.5442           7.65       -88.2041        16.2228          5.051 2025-01-03T00:05:20
     136      -315.6114       152.8805           9.42       -58.5886        18.0583          5.393 2025-01-03T00:05:20
     137      -148.9544       107.4133          20.94        89.4512        18.4699          5.263 2025-01-03T00:05:20
     138      -315.1191       171.4927           7.96       -60.2158        16.9157          5.313 2025-01-03T00:05:20
     139      -320.0823       177.6516           8.05       -64.7734        16.6483          5.204 2025-01-03T00:05:21
     140       -22.7359       134.6787          26.32       167.0235        12.2420          4.074 2025-01-03T00:05:21
     141      -363.7020       275.7070           8.44       -67.8938        15.7955          5.248 2025-01-03T00:05:21
     142       -21.5348       132.4943          26.24       166.2200        12.1508          4.067 2025-01-03T00:05:22
     143      -288.6159       223.3489           8.87       -40.7880        13.6153          3.700 2025-01-03T00:05:23
     144        15.8974        50.4917          25.95       234.6100        19.3467          4.974 2025-01-03T00:05:23
     145      -377.1448       255.6821           6.88       -95.8584        15.3445          4.945 2025-01-03T00:05:24
     146      -313.0872       156.1810           6.32       -75.7394        15.9257          4.937 2025-01-03T00:05:24
     147       359.8680       321.9250          37.59       717.7612        19.6931          4.982 2025-01-03T00:05:25
     148        -1.0124       118.9336          25.51       172.2137        11.3759          3.966 2025-01-03T00:05:25
     149      -127.2502       105.2999          12.51        82.0538        15.6654          5.532 2025-01-03T00:05:25
     150      -360.7847       217.5915           4.32      -107.8950        14.4094          5.706 2025-01-03T00:05:26
     151      -284.7914       132.5158           6.60       -68.5980        14.9936          5.654 2025-01-03T00:05:26
     152         4.4073       117.3203          25.41       175.6679        11.2600          4.379 2025-01-03T00:05:26
     153      -250.2012       114.4564           6.48       -42.7455        15.0227          5.868 2025-01-03T00:05:27
     154      -145.3036        84.5473          18.14        70.1391        17.3169          5.578 2025-01-03T00:05:27
