         Reward       Distance
        19.3700         0.0955
        45.8300         0.2104
       151.5750         0.6390
        14.6150         0.0993
        16.8250         0.0965
        46.0700         0.2196
        87.6600         0.3568
        47.8650         0.2233
        15.8650         0.0968
        16.3600         0.0993
        50.9000         0.2189
        44.8650         0.2214
        15.4050         0.0984
        15.4400         0.0936
        53.6450         0.2221
        49.3800         0.2170
       108.5100         0.4828
        51.3900         0.2525
        17.2700         0.0952
        78.3800         0.3920
        46.9350         0.2186
        48.5000         0.2284
        43.6600         0.2211
        15.2750         0.0990
       199.5350         0.7830
        48.1250         0.2180
        48.0900         0.2145
        18.4050         0.0965
        83.2850         0.3559
        74.2500         0.3565
        58.7050         0.2759
        41.9050         0.2211
        15.3500         0.0978
        14.9950         0.0943
        43.9050         0.2142
        18.1400         0.2692
        15.1850         0.0993
         5.5350         0.2284
        45.2950         0.2170
        15.1850         0.0993
        15.1850         0.0993
        48.0050         0.2227
        15.1850         0.0993
        15.1850         0.0993
        81.9500         0.3584
        76.7400         0.3562
        15.1850         0.0993
        94.4500         0.4467
        15.1850         0.0993
        99.5250         0.4521
       142.0750         0.6178
        50.3200         0.2638
        15.1850         0.0993
        14.0800         0.0984
        66.5150         0.2642
        47.1400         0.2196
        14.1900         0.0993
        44.5250         0.2196
        14.1900         0.0993
        15.1850         0.0993
        49.9900         0.2186
        15.1850         0.0993
        45.3500         0.2240
        15.1850         0.0993
        15.1850         0.0993
        51.4500         0.2214
        14.4600         0.0997
        51.5950         0.2537
        15.1850         0.0993
        15.4400         0.0981
        15.7550         0.0911
        46.4400         0.2129
        18.0950         0.0940
        19.7200         0.0936
        16.6650         0.0943
        42.3050         0.2126
        19.7200         0.0936
        19.7200         0.0936
        81.4600         0.3568
        50.1750         0.2284
        19.7200         0.0936
        62.4300         0.2838
        19.7200         0.0936
        19.7200         0.0936
        48.9200         0.2284
        58.7350         0.2765
        64.8950         0.2841
        53.0500         0.2192
        96.9850         0.4454
       151.1800         0.6163
        16.1600         0.1000
        17.1400         0.0946
        83.5950         0.3654
        58.7250         0.2683
        79.8700         0.3575
        78.8000         0.3597
        60.2400         0.2585
        82.2750         0.3594
        81.6700         0.3568
       134.0600         0.5628
        68.4750         0.2841
        46.7750         0.2151
        81.4750         0.3565
        47.4750         0.2091
        14.8550         0.0984
        46.0400         0.2199
        83.2850         0.3553
        81.8000         0.3575
        15.8900         0.0984
        56.3200         0.2512
        14.8950         0.0978
        47.6000         0.2284
        16.0150         0.0940
        51.2050         0.2240
        67.5150         0.2841
        97.4450         0.4530
        61.0200         0.2733
        48.7750         0.2094
        43.5450         0.2183
        17.3800         0.0990
