 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     165       -12.1201         0.3512           9.11       154.5851        16.6530         24.225 2024-12-29T16:24:20
     166       -55.9552         5.0879           1.71        39.0577         9.2469         23.407 2024-12-29T16:24:20
     167       -65.6574         6.9964           6.96        82.8851        14.5044         24.076 2024-12-29T16:24:20
     168       -39.0904         2.5332           8.20       119.5306        15.7354         24.154 2024-12-29T16:24:20
     169       -60.5264         5.9164           7.04        88.2559        14.5824         23.963 2024-12-29T16:24:21
     170       -59.1427         5.6676           7.77        96.7993        15.3108         24.057 2024-12-29T16:24:21
     171         2.4961         0.0200           9.51       173.0066        17.0501         24.017 2024-12-29T16:24:21
     172        -3.7307         0.3079          11.52       187.0703        19.0647         24.018 2024-12-29T16:24:22
     173       -86.0535        11.9587           6.82        63.5524        14.3627         23.898 2024-12-29T16:24:23
     174       -63.2053         6.9357           1.39        29.5882         8.9326         24.483 2024-12-29T16:24:25
     175       -63.4167         6.9627           1.36        29.1155         8.9051         23.080 2024-12-29T16:24:35
     176       -75.1261         8.9494           5.24        57.2225        12.7874         22.721 2024-12-29T16:24:37
     177       -41.3960         2.8290           8.24       117.8723        15.7854         22.536 2024-12-29T16:24:42
     178       -62.2212         6.2420           1.43        30.5719         8.9672         22.763 2024-12-29T16:24:42
     179       -28.8494         2.8138           8.69       134.7999        16.2242         21.486 2024-12-29T16:24:43
     180       -80.5654        11.0011           6.53        65.6348        14.0700         22.556 2024-12-29T16:24:43
     181       -82.8117        11.7642           6.73        65.7466        14.2676         22.961 2024-12-29T16:24:43
     182       -25.2024         1.0655           8.70       137.7379        16.2407         22.293 2024-12-29T16:24:44
     183       -66.3068         7.1614           6.91        81.7987        14.4525         23.288 2024-12-29T16:24:44
     184       -43.8008         3.0695           9.40       127.0980        16.9364         23.726 2024-12-29T16:24:46
     185       -96.1917        14.7755           6.56        52.2422        14.1046         25.150 2024-12-29T16:24:49
     186       -62.8943         6.8274           1.25        28.4711         8.7952         25.593 2024-12-29T16:24:50
     187       -62.2632         6.6961           1.24        28.9725         8.7888         22.248 2024-12-29T16:24:57
     188        -2.3461         1.8286           8.36       157.5296        15.8961         22.774 2024-12-29T16:25:00
     189         5.9137         1.9455           5.10       133.2935        12.6407         24.677 2024-12-29T16:25:07
     190       -49.1919         4.2228           7.92       107.4729        15.4553         25.273 2024-12-29T16:25:07
     191        29.2910         1.4698          10.63       211.7184        18.1693         24.940 2024-12-29T16:25:08
     192       -46.9641         3.8562           6.80        98.3193        14.3355         24.650 2024-12-29T16:25:08
     193       -99.5771        16.0563           5.97        43.5549        13.5104         24.406 2024-12-29T16:25:08
     194       -39.6195         2.6784           7.94       116.5206        15.4801         24.581 2024-12-29T16:25:08
     195       -81.3821        10.5979           6.16        60.8861        13.6969         24.737 2024-12-29T16:25:08
     196       -75.3233         9.0400           8.34        88.0326        15.8836         22.594 2024-12-29T16:25:09
     197       -98.3158        15.2240           6.38        48.5154        13.9219         22.935 2024-12-29T16:25:12
     198       -51.8184         4.6803           1.30        38.9746         8.8453         22.472 2024-12-29T16:25:13
     199       -50.4497         4.4357           1.30        40.2168         8.8449         22.849 2024-12-29T16:25:20
     201       -79.8974        10.3598           5.59        56.5973        13.1315         21.506 2024-12-29T16:25:29
     202       -34.9220         2.2527           8.07       122.2727        15.6068         22.571 2024-12-29T16:25:30
     203       -15.6273         0.6940           8.59       146.0301        16.1310         22.366 2024-12-29T16:25:30
     204       -74.9151         9.1912           7.01        75.1649        14.5484         22.744 2024-12-29T16:25:30
     205        21.2616         0.8704           9.43       191.4173        16.9721         22.458 2024-12-29T16:25:30
     206       -40.8631         2.7304           7.38       109.7609        14.9259         22.242 2024-12-29T16:25:30
     207       -74.5886         8.9770           5.59        61.1494        13.1249         22.013 2024-12-29T16:25:30
     208       -74.7482         9.3004           7.79        83.2424        15.3340         22.419 2024-12-29T16:25:31
     209       -90.8243        13.1250           5.93        50.4783        13.4740         22.337 2024-12-29T16:25:34
     210       -35.6299         2.2392           1.30        53.9672         8.8478         22.637 2024-12-29T16:25:35
     200       -23.1211         1.4500           8.19       134.8690        15.7265         24.056 2024-12-29T16:25:36
     211       -34.3123         2.0779           1.28        55.0271         8.8300         23.803 2024-12-29T16:25:44
     212       -71.9679         8.5361           5.25        60.1979        12.7898         22.033 2024-12-29T16:25:51
     213         9.6809         0.4118           8.48       170.0947        16.0208         22.013 2024-12-29T16:25:52
     214       -26.6820         1.7821           8.00       129.6364        15.5427         21.673 2024-12-29T16:25:52
     215       -27.5602         1.3248           7.78       126.3034        15.3201         22.398 2024-12-29T16:25:52
     216        42.4642         2.6271           9.52       214.4106        17.0633         22.295 2024-12-29T16:25:53
     217       -62.2625         6.3170           5.12        67.5362        12.6640         22.266 2024-12-29T16:25:53
     218       -32.3368         1.7710           6.88       112.7397        14.4191         22.455 2024-12-29T16:25:53
     219       -72.6987         8.7118           7.12        78.2565        14.6599         22.078 2024-12-29T16:25:53
     220       -76.5614         9.3602           5.43        57.8677        12.9749         24.277 2024-12-29T16:25:58
     221       -20.9999         0.8206           1.13        66.2274         8.6817         25.085 2024-12-29T16:26:00
     222        -3.9560         0.4741           8.65       158.1898        16.1909         36.615 2024-12-29T16:26:01
     223       -19.8745         0.7407           1.10        67.0208         8.6525         21.719 2024-12-29T16:26:06
     224       -63.4179         6.5735           5.02        65.4451        12.5576         24.630 2024-12-29T16:26:16
     225        -5.7003         0.1277           8.51       154.9009        16.0537         24.294 2024-12-29T16:26:16
     226        40.3719         2.6168           9.23       209.3916        16.7711         24.997 2024-12-29T16:26:17
     227       -14.3307         0.3686           7.39       135.2142        14.9361         24.941 2024-12-29T16:26:17
     228       -44.7594         3.2648           4.64        78.7329        12.1860         24.501 2024-12-29T16:26:17
     229       -19.0927         0.6973           6.27       119.3735        13.8118         24.887 2024-12-29T16:26:18
     230       -28.3209         2.3432           7.54       123.6199        15.0769         24.787 2024-12-29T16:26:18
     231        49.8181         3.6451           8.90       216.1020        16.4461         25.397 2024-12-29T16:26:18
     232       -60.2744         5.9295           4.96        67.6999        12.5010         22.991 2024-12-29T16:26:21
     233        87.4861        15.8285          12.07       291.5137        19.6113         21.582 2024-12-29T16:26:22
     234        -9.8446         0.2067           0.90        74.7791         8.4520         22.346 2024-12-29T16:26:23
     235        -7.6723         0.1347           0.88        76.6608         8.4266         22.070 2024-12-29T16:26:28
     236        61.3719         6.9984          11.26       252.8464        18.7975         22.365 2024-12-29T16:26:38
     237       -39.1100         2.6193           4.60        83.6475        12.1448         22.658 2024-12-29T16:26:39
     238       124.5208        28.7511          12.66       340.9120        20.2016         22.341 2024-12-29T16:26:39
     239        -3.8668         0.0490           5.95       131.0332        13.4875         21.753 2024-12-29T16:26:39
     240        10.7167         0.2073           8.23       168.5654        15.7745         21.789 2024-12-29T16:26:40
     241         0.2797         0.0103           6.82       143.8971        14.3612         22.459 2024-12-29T16:26:40
     242        -9.4882         0.3951           5.27       118.8414        12.8132         22.492 2024-12-29T16:26:40
     243        60.9279         5.5332           8.29       222.0441        15.8350         22.095 2024-12-29T16:26:40
     244       -35.9233         2.2058           4.75        88.1348        12.2955         22.182 2024-12-29T16:26:43
     245        37.0532         2.4850           7.21       185.7949        14.7499         22.365 2024-12-29T16:26:45
     246        61.0337         7.9739           4.71       187.5977        12.2577         22.552 2024-12-29T16:26:45
     247        57.0504         7.8529           4.60       182.4985        12.1522         24.485 2024-12-29T16:26:52
     248        36.2592         2.4239           8.43       197.1711        15.9700         22.348 2024-12-29T16:27:01
     249        32.9504         3.9024           6.37       173.9849        13.9083         22.728 2024-12-29T16:27:01
     250        12.5937         0.1983           5.79       145.9588        13.3266         22.116 2024-12-29T16:27:02
     251        49.2438         3.6537           8.55       212.0122        16.0942         22.033 2024-12-29T16:27:02
     252        39.3998         2.2626           6.82       184.0986        14.3568         22.713 2024-12-29T16:27:02
     253        15.4192         0.3078           5.86       149.6237        13.4051         22.366 2024-12-29T16:27:02
     254       107.4314        19.2244           9.17       284.1063        16.7063         22.293 2024-12-29T16:27:02
     255        14.8698         0.2933           6.43       154.6962        13.9680         22.765 2024-12-29T16:27:02
     256        53.8585        15.1251           5.76       162.8230        10.1402         12.390 2024-12-29T16:27:05
     257       -17.3158         0.5469           4.48       103.1376        12.0180         23.897 2024-12-29T16:27:07
     258        60.7289         6.0511           7.56       214.7458        15.0991         25.682 2024-12-29T16:27:10
     259       102.3655        22.4477           8.90       278.0723        16.4483         25.208 2024-12-29T16:27:11
     260        30.4558         1.6257           5.96       166.2259        13.4957         23.154 2024-12-29T16:27:24
     261        60.7646         5.4589           8.50       223.8758        16.0382         22.699 2024-12-29T16:27:24
     262        68.3504         8.8196           8.03       228.5016        15.5741         23.170 2024-12-29T16:27:25
     263        22.2289         0.6907           5.37       151.7129        12.9139         24.007 2024-12-29T16:27:26
     264        43.1266         2.7404           6.00       179.9042        13.5407         24.399 2024-12-29T16:27:26
     265        80.3211        11.7010           7.66       238.1902        15.2019         24.733 2024-12-29T16:27:26
     266        22.5189         0.7031           6.02       158.4407        13.5570         24.172 2024-12-29T16:27:27
     267        57.2712         4.8752           7.18       206.8992        14.7190         25.732 2024-12-29T16:27:28
     268       173.7265        51.2834           8.95       364.3838        16.5016         24.738 2024-12-29T16:27:29
     269        -5.8679         0.0884           4.11       110.6444        11.6468         23.489 2024-12-29T16:27:31
     270        91.6873        19.4024          10.08       277.6009        17.6212         21.394 2024-12-29T16:27:32
     271        78.7921         9.2280           6.90       227.8457        14.4440         22.827 2024-12-29T16:27:33
     272        67.8994         7.1337           7.84       225.2470        15.3781         23.257 2024-12-29T16:27:48
     273        54.1830         4.3213           6.28       194.5931        13.8249         23.317 2024-12-29T16:27:48
     274       114.8921        20.0989           8.52       285.5302        16.0589         23.969 2024-12-29T16:27:48
